blocking_pair_completeness,blocking_reduction_ratio,candidate_pairs,cluster_f1,cluster_precision,cluster_recall,configuration_id,core_schema_f1,detail_schema_f1,end_to_end_quality,fusion_accuracy,fusion_evaluated_values,linkage_fn,linkage_fp,linkage_test_f1,linkage_test_precision,linkage_test_recall,linkage_tn,linkage_tp,report_label,run_id,schema_f1
0.9813,0.9167,25953,0.2136,0.9822,0.1198,A0,0.898,0.4575,0.54,0.6667,6,163,221,0.807,0.7842,0.8313,524,803,Deterministic,run_20260614T141953Z_baseline_m2_alaska_monit_3f8ab8fb,0.4727
0.8162,0.9262,22985,0.0794,0.9633,0.0414,C-LLM,0.766,0.3986,0.4292,1.0,2,687,0,0.2272,1.0,0.1282,644,101,LLM,run_20260614T142015Z_m4_c_llm_primary_alaska__1911a3a7,0.4103
0.9797,0.9407,18484,0.212,0.9983,0.1186,B-All,0.898,0.4575,0.5744,0.75,4,87,193,0.8627,0.8201,0.91,286,880,Hybrid,run_20260614T153452Z_m4_b_all_alaska_monitor__50d1ed61,0.4727
0.9797,0.9407,18484,0.212,0.9983,0.1186,B-S,0.898,0.4575,0.5756,0.75,4,77,194,0.8679,0.821,0.9204,285,890,B-S,run_20260614T153616Z_m4_b_schema_only_alaska__391674fa,0.4727
0.9797,0.9407,18484,0.2127,0.9983,0.119,B-L,0.898,0.4575,0.5748,0.75,4,85,193,0.8639,0.8205,0.9121,286,882,B-L,run_20260614T153629Z_m4_b_linkage_only_alaska_7d806c36,0.4727
0.9797,0.9407,18484,0.2127,0.9983,0.119,B-F,0.898,0.4575,0.5761,0.75,4,75,194,0.869,0.8214,0.9224,285,892,B-F,run_20260614T153644Z_m4_b_fusion_only_alaska__3de2ccf9,0.4727
0.9797,0.9407,18484,0.212,0.9983,0.1186,B-SL,0.898,0.4575,0.5744,0.75,4,87,193,0.8627,0.8201,0.91,286,880,B-SL,run_20260614T153657Z_m4_b_schema_linkage_alas_d7ab4f09,0.4727
0.9797,0.9407,18484,0.2127,0.9983,0.119,B-LF,0.898,0.4575,0.5748,0.75,4,85,193,0.8639,0.8205,0.9121,286,882,B-LF,run_20260614T153712Z_m4_b_linkage_fusion_alas_5b328ee9,0.4727
0.9797,0.9407,18484,0.2127,0.9983,0.119,Budget-0,0.898,0.4575,0.5761,0.75,4,75,194,0.869,0.8214,0.9224,285,892,Budget-0,run_20260614T153727Z_m4_budget_cap_0_alaska_m_94a25a58,0.4727
0.9797,0.9407,18484,0.2127,0.9983,0.119,Budget-5,0.898,0.4575,0.5756,0.75,4,79,193,0.8672,0.8215,0.9183,286,888,Budget-5,run_20260614T153742Z_m4_budget_cap_5_alaska_m_1360abbd,0.4727
0.9797,0.9407,18484,0.2127,0.9983,0.119,Budget-10,0.898,0.4575,0.5751,0.75,4,83,193,0.865,0.8208,0.9142,286,884,Budget-10,run_20260614T153757Z_m4_budget_cap_10_alaska__5aeeac70,0.4727
0.9797,0.9407,18484,0.212,0.9983,0.1186,Budget-25,0.898,0.4575,0.5744,0.75,4,87,193,0.8627,0.8201,0.91,286,880,Budget-25,run_20260614T153812Z_m4_budget_cap_25_alaska__956adc1c,0.4727
